start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
30/12/17 18:37,16.0,rat,30/12/17 18:35,30/12/17 18:38,108.0,1.0,0.0,0,30/12/17 16:45,1.870833333,0,rat,0.0,dataset1,,,,,,
2017-12-30 02:15:00,,,,,,,,0,,9.5,0,,,dataset2,30/12/2017 2:15,41.0,1.0,0.0,0.0,0.0
2017-12-30 02:45:00,,,,,,,,0,,10.0,0,,,dataset2,30/12/2017 2:45,34.0,1.0,0.0,0.0,0.0
2017-12-30 03:15:00,,,,,,,,0,,10.5,0,,,dataset2,30/12/2017 3:15,23.0,1.0,0.0,0.0,0.0
2017-12-30 03:45:00,,,,,,,,0,,11.0,0,,,dataset2,30/12/2017 3:45,13.0,0.943074004,0.0,0.0,0.0
2017-12-30 04:15:00,,,,,,,,0,,11.5,0,,,dataset2,30/12/2017 4:15,16.0,0.558823529,0.0,0.0,0.0
2017-12-30 04:45:00,,,,,,,,0,,12.0,0,,,dataset2,30/12/2017 4:45,7.0,0.169117647,0.0,0.0,0.0
2017-12-30 01:45:00,,,,,,,,0,,9.0,0,,,dataset2,30/12/2017 1:45,30.0,1.069124424,0.0,0.0,0.0
2017-12-30 05:15:00,,,,,,,,0,,12.5,0,,,dataset2,30/12/2017 5:15,7.0,0.0,0.0,0.0,0.0
2017-12-30 06:15:00,,,,,,,,0,,13.5,0,,,dataset2,30/12/2017 6:15,1.0,0.0,0.0,0.0,0.0
2017-12-30 16:45:00,,,,,,,,0,,0.0,0,,,dataset2,30/12/2017 16:45,21.0,4.0,0.0,0.0,0.0
2017-12-30 17:15:00,,,,,,,,0,,0.5,0,,,dataset2,30/12/2017 17:15,32.0,4.0,0.0,0.0,0.0
2017-12-30 17:45:00,,,,,,,,0,,1.0,0,,,dataset2,30/12/2017 17:45,13.0,4.0,0.0,0.0,0.0
2017-12-30 18:15:00,,,,,,,,0,,1.5,0,,,dataset2,30/12/2017 18:15,36.0,4.0,3.283333333,1.0,1.0
2017-12-30 18:45:00,,,,,,,,0,,2.0,0,,,dataset2,30/12/2017 18:45,20.0,3.955857385,0.0,0.0,0.0
2017-12-30 05:45:00,,,,,,,,0,,13.0,0,,,dataset2,30/12/2017 5:45,5.0,0.0,0.0,0.0,0.0
2017-12-30 19:15:00,,,,,,,,0,,2.5,0,,,dataset2,30/12/2017 19:15,35.0,3.526315789,0.0,0.0,0.0
2017-12-30 01:15:00,,,,,,,,0,,8.5,0,,,dataset2,30/12/2017 1:15,47.0,1.535714286,0.0,0.0,0.0
2017-12-30 00:15:00,,,,,,,,0,,7.5,0,,,dataset2,30/12/2017 0:15,42.0,2.53125,0.0,0.0,0.0
2017-12-29 17:15:00,,,,,,,,0,,0.5,0,,,dataset2,29/12/2017 17:15,14.0,4.0,0.0,0.0,0.0
2017-12-29 17:45:00,,,,,,,,0,,1.0,0,,,dataset2,29/12/2017 17:45,14.0,4.0,0.0,0.0,0.0
2017-12-29 18:15:00,,,,,,,,0,,1.5,0,,,dataset2,29/12/2017 18:15,9.0,4.0,6.783333333,1.0,1.0
2017-12-29 18:45:00,,,,,,,,0,,2.0,0,,,dataset2,29/12/2017 18:45,19.0,3.949388209,0.0,0.0,0.0
2017-12-29 19:15:00,,,,,,,,0,,2.5,0,,,dataset2,29/12/2017 19:15,26.0,3.517241379,0.0,0.0,0.0
2017-12-29 19:45:00,,,,,,,,0,,3.0,0,,,dataset2,29/12/2017 19:45,29.0,3.066740823,0.0,0.0,0.0
