start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
2017-12-26 16:43:00,,,,,,,,0,,0.0,0,,,dataset2,26/12/2017 16:43:00,28.0,4.0,0.0,0.0,0.0
2017-12-26 17:13:00,,,,,,,,0,,0.5,0,,,dataset2,26/12/2017 17:13:00,25.0,4.0,0.0,0.0,0.0
2017-12-26 17:43:00,,,,,,,,0,,1.0,0,,,dataset2,26/12/2017 17:43:00,71.0,4.0,0.0,0.0,0.0
2017-12-26 18:13:00,,,,,,,,0,,1.5,0,,,dataset2,26/12/2017 18:13:00,44.0,3.753856942,0.0,0.0,0.0
2017-12-26 18:43:00,,,,,,,,0,,2.0,0,,,dataset2,26/12/2017 18:43:00,44.0,3.147265077,0.0,0.0,0.0
2017-12-26 19:13:00,,,,,,,,0,,2.5,0,,,dataset2,26/12/2017 19:13:00,41.0,3.0,0.0,0.0,0.0
2017-12-26 19:43:00,,,,,,,,0,,3.0,0,,,dataset2,26/12/2017 19:43:00,54.0,3.0,0.0,0.0,0.0
2017-12-26 20:13:00,,,,,,,,0,,3.5,0,,,dataset2,26/12/2017 20:13:00,32.0,3.0,0.0,0.0,0.0
2017-12-26 20:43:00,,,,,,,,0,,4.0,0,,,dataset2,26/12/2017 20:43:00,51.0,2.968873797,1.283333333,2.0,1.0
26/12/17 20:57,1.0,other,26/12/17 20:53,26/12/17 20:58,239.0,0.0,0.0,0,26/12/17 16:43,4.248611111,0,,0.0,dataset1,26/12/2017 20:57:00,,,,,
26/12/17 20:57,5.0,other,26/12/17 20:53,26/12/17 20:58,199.0,0.0,0.0,0,26/12/17 16:43,4.2375,0,,0.0,dataset1,26/12/2017 20:57:00,,,,,
2017-12-26 21:13:00,,,,,,,,0,,4.5,0,,,dataset2,26/12/2017 21:13:00,53.0,2.561403509,4.866666667,1.0,1.0
26/12/17 21:24,5.0,pick,26/12/17 21:22,26/12/17 21:27,128.0,0.0,1.0,0,26/12/17 16:43,4.695555556,0,pick,0.0,dataset1,26/12/2017 21:24:00,,,,,
26/12/17 21:24,3.0,fast,26/12/17 21:22,26/12/17 21:27,121.0,0.0,1.0,0,26/12/17 16:43,4.693611111,0,fast,0.0,dataset1,26/12/2017 21:24:00,,,,,
26/12/17 21:24,6.0,pick,26/12/17 21:22,26/12/17 21:27,113.0,0.0,1.0,0,26/12/17 16:43,4.691388889,0,pick,0.0,dataset1,26/12/2017 21:24:00,,,,,
26/12/17 21:24,15.0,rat,26/12/17 21:22,26/12/17 21:27,88.0,1.0,0.0,0,26/12/17 16:43,4.684444444,0,rat,0.0,dataset1,26/12/2017 21:24:00,,,,,
26/12/17 21:25,6.0,pick,26/12/17 21:22,26/12/17 21:27,153.0,0.0,1.0,0,26/12/17 16:43,4.7025,0,pick,0.0,dataset1,26/12/2017 21:25:00,,,,,
26/12/17 21:26,1.0,bat,26/12/17 21:22,26/12/17 21:27,216.0,1.0,0.0,0,26/12/17 16:43,4.72,0,bat_fight,1.0,dataset1,26/12/2017 21:26:00,,,,,
26/12/17 21:26,10.0,rat,26/12/17 21:22,26/12/17 21:27,208.0,1.0,0.0,0,26/12/17 16:43,4.717777778,0,rat,0.0,dataset1,26/12/2017 21:26:00,,,,,
2017-12-26 21:43:00,,,,,,,,0,,5.0,0,,,dataset2,26/12/2017 21:43:00,47.0,2.086587436,7.9,1.0,1.0
2017-12-26 22:13:00,,,,,,,,0,,5.5,0,,,dataset2,26/12/2017 22:13:00,75.0,2.0,0.133333333,1.0,1.0
2017-12-26 22:43:00,,,,,,,,0,,6.0,0,,,dataset2,26/12/2017 22:43:00,45.0,1.958064516,0.0,0.0,0.0
2017-12-26 23:13:00,,,,,,,,0,,6.5,0,,,dataset2,26/12/2017 23:13:00,30.0,1.55,0.0,0.0,0.0
2017-12-26 23:43:00,,,,,,,,0,,7.0,0,,,dataset2,26/12/2017 23:43:00,44.0,1.049289229,0.0,0.0,0.0
2017-12-27 00:13:00,,,,,,,,0,,7.5,0,,,dataset2,27/12/2017 00:13:00,30.0,0.542372881,0.0,0.0,0.0
2017-12-27 00:43:00,,,,,,,,0,,8.0,0,,,dataset2,27/12/2017 00:43:00,26.0,0.144067797,0.0,0.0,0.0
2017-12-27 01:13:00,,,,,,,,0,,8.5,0,,,dataset2,27/12/2017 01:13:00,16.0,0.0,6.683333333,1.0,1.0
27/12/17 01:35,2.0,rat,27/12/17 01:34,27/12/17 01:41,37.0,1.0,0.0,0,26/12/17 16:43,8.8725,0,rat_and_no_food,0.0,dataset1,27/12/2017 01:35:00,,,,,
2017-12-27 01:43:00,,,,,,,,0,,9.0,0,,,dataset2,27/12/2017 01:43:00,13.0,0.0,0.016666667,1.0,1.0
2017-12-27 02:13:00,,,,,,,,0,,9.5,0,,,dataset2,27/12/2017 02:13:00,17.0,0.0,0.0,0.0,0.0
2017-12-27 02:43:00,,,,,,,,0,,10.0,0,,,dataset2,27/12/2017 02:43:00,15.0,0.0,0.0,0.0,0.0
2017-12-27 03:13:00,,,,,,,,0,,10.5,0,,,dataset2,27/12/2017 03:13:00,14.0,0.0,0.0,0.0,0.0
