start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
23/4/18 00:49,4.0,pick,23/4/18 00:45,23/4/18 00:50,263.0,0.0,1.0,4,22/4/18 19:14,5.591666667,1,pick,0.0,dataset1,23/04/2018 00:49:00,,,,,
26/4/18 22:33,1.0,other,26/4/18 22:25,26/4/18 22:36,479.0,0.0,0.0,4,26/4/18 19:17,3.276666667,1,,0.0,dataset1,26/04/2018 22:33:00,,,,,
2018-05-10 02:26:00,,,,,,,,5,,7.0,1,,,dataset2,10/05/2018 02:26:00,30.0,3.0,1.383333333,1.0,1.0
2018-03-30 22:59:00,,,,,,,,3,,4.0,1,,,dataset2,30/03/2018 22:59:00,129.0,2.005288207,0.0,0.0,0.0
20/4/18 00:03,14.0,rat,20/4/18 00:00,20/4/18 00:18,207.0,1.0,0.0,4,19/4/18 19:12,4.863333333,1,rat,0.0,dataset1,20/04/2018 00:03:00,,,,,
2018-05-21 21:35:00,,,,,,,,5,,2.0,1,,,dataset2,21/05/2018 21:35:00,15.0,2.183927561,2.266666667,1.0,1.0
26/4/18 23:05,6.0,bat,26/4/18 23:04,26/4/18 23:09,37.0,1.0,1.0,4,26/4/18 19:17,3.809166667,1,pick_and_bat,0.0,dataset1,26/04/2018 23:05:00,,,,,
5/4/18 02:58,1.0,fast,5/4/18 02:55,5/4/18 03:14,164.0,0.0,1.0,4,5/3/18 19:22,7.610833333,1,fast,0.0,dataset1,05/04/2018 02:58:00,,,,,
2018-04-16 19:10:00,,,,,,,,4,,0.0,1,,,dataset2,16/04/2018 19:10:00,45.0,4.0,0.0,0.0,0.0
5/9/18 02:35,5.0,pick,5/9/18 02:33,5/9/18 02:39,144.0,0.0,1.0,5,5/8/18 19:26,7.16,1,pick,0.0,dataset1,05/09/2018 02:35:00,,,,,
2018-04-26 06:17:00,,,,,,,,4,,11.0,1,,,dataset2,26/04/2018 06:17:00,1.0,0.0,0.0,0.0,0.0
5/4/18 02:06,10.0,pick,5/4/18 01:57,5/4/18 02:07,555.0,0.0,1.0,4,5/3/18 19:22,6.749722222,1,pick,0.0,dataset1,05/04/2018 02:06:00,,,,,
4/3/18 23:27,4.0,rat,4/3/18 23:24,4/3/18 23:40,197.0,1.0,0.0,3,4/3/18 19:01,4.447222222,1,rat,0.0,dataset1,04/03/2018 23:27:00,,,,,
2018-04-15 20:40:00,,,,,,,,4,,1.5,1,,,dataset2,15/04/2018 20:40:00,39.0,3.97091486,0.0,0.0,0.0
2018-05-21 20:35:00,,,,,,,,5,,1.0,1,,,dataset2,21/05/2018 20:35:00,13.0,2.998302207,0.45,1.0,1.0
28/4/18 01:07,6.0,pick,28/4/18 01:06,28/4/18 01:07,74.0,0.0,1.0,4,27/4/18 19:18,5.824166667,1,pick,0.0,dataset1,28/04/2018 01:07:00,,,,,
21/4/18 01:44,11.0,rat,21/4/18 01:43,21/4/18 01:45,25.0,1.0,0.0,4,20/4/18 19:13,6.516666667,1,rat,0.0,dataset1,21/04/2018 01:44:00,,,,,
2018-04-27 22:18:00,,,,,,,,4,,3.0,1,,,dataset2,27/04/2018 22:18:00,38.0,3.0,2.166666667,1.0,1.0
2018-04-16 20:40:00,,,,,,,,4,,1.5,1,,,dataset2,16/04/2018 20:40:00,26.0,3.975806452,0.0,0.0,0.0
2018-05-23 05:35:00,,,,,,,,5,,10.0,1,,,dataset2,23/05/2018 05:35:00,4.0,3.0,0.0,0.0,0.0
5/7/18 05:32,10.0,pick,5/7/18 05:30,5/7/18 05:42,149.0,0.0,1.0,5,5/6/18 19:24,10.14583333,1,pick,0.0,dataset1,05/07/2018 05:32:00,,,,,
2018-04-20 01:12:00,,,,,,,,4,,6.0,1,,,dataset2,20/04/2018 01:12:00,31.0,3.0,0.15,1.0,1.0
5/9/18 03:29,8.0,rat,5/9/18 03:21,5/9/18 03:30,483.0,1.0,0.0,5,5/8/18 19:26,8.066388889,1,rat,0.0,dataset1,05/09/2018 03:29:00,,,,,
2018-05-23 04:35:00,,,,,,,,5,,9.0,1,,,dataset2,23/05/2018 04:35:00,4.0,3.0,0.0,0.0,0.0
2018-04-29 19:19:00,,,,,,,,4,,0.0,1,,,dataset2,29/04/2018 19:19:00,28.0,4.0,0.0,0.0,0.0
20/4/18 21:27,37.0,pick,20/4/18 21:20,20/4/18 21:34,477.0,0.0,1.0,4,20/4/18 19:13,2.249444444,1,pick,0.0,dataset1,20/04/2018 21:27:00,,,,,
2018-04-13 22:08:00,,,,,,,,4,,3.0,1,,,dataset2,13/04/2018 22:08:00,83.0,3.0,0.0,0.0,0.0
20/3/18 03:17,2.0,fast,20/3/18 03:15,20/3/18 03:17,108.0,0.0,1.0,3,19/3/18 17:51,9.436944444,1,fast,0.0,dataset1,20/03/2018 03:17:00,,,,,
2018-03-18 22:50:00,,,,,,,,3,,5.0,1,,,dataset2,18/03/2018 22:50:00,104.0,2.916347731,0.0,0.0,0.0
2018-04-29 02:19:00,,,,,,,,4,,7.0,1,,,dataset2,29/04/2018 02:19:00,65.0,2.0,0.0,0.0,0.0
19/4/18 04:33,14.0,pick,19/4/18 04:28,19/4/18 04:34,280.0,0.0,1.0,4,18/4/18 19:12,9.353888889,1,pick,0.0,dataset1,19/04/2018 04:33:00,,,,,
2018-03-18 20:20:00,,,,,,,,3,,2.5,1,,,dataset2,18/03/2018 20:20:00,26.0,3.45,0.0,0.0,0.0
2018-04-28 08:18:00,,,,,,,,4,,13.0,1,,,dataset2,28/04/2018 08:18:00,6.0,0.0,0.0,0.0,0.0
2018-05-01 06:50:00,,,,,,,,5,,11.5,1,,,dataset2,01/05/2018 06:50:00,2.0,2.0,0.0,0.0,0.0
