start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight,dataset,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_present
5/1/18 00:09,29.0,bat,5/1/18 00:06,5/1/18 00:09,195.0,1.0,0.0,1,30/4/18 19:20,4.823611111,0,bat_fight,1.0,dataset1,05/01/2018 00:09:00,,,,,
2018-02-12 20:24:00,,,,,,,,2,,3.0,0,,,dataset2,12/02/2018 20:24:00,61.0,3.0,0.0,0.0,0.0
2018-02-13 03:24:00,,,,,,,,2,,10.0,0,,,dataset2,13/02/2018 03:24:00,15.0,1.0,3.35,2.0,1.0
2018-02-18 19:59:00,,,,,,,,2,,2.5,0,,,dataset2,18/02/2018 19:59:00,50.0,3.766129032,1.25,1.0,1.0
2017-12-29 03:14:00,,,,,,,,0,,10.5,0,,,dataset2,29/12/2017 03:14:00,24.0,0.546875,0.0,0.0,0.0
2018-01-28 23:40:00,,,,,,,,1,,6.5,0,,,dataset2,28/01/2018 23:40:00,80.0,2.130730051,0.0,0.0,0.0
2018-01-01 17:17:00,,,,,,,,1,,0.5,0,,,dataset2,01/01/2018 17:17:00,12.0,4.0,0.0,0.0,0.0
2018-02-17 21:28:00,,,,,,,,2,,4.0,0,,,dataset2,17/02/2018 21:28:00,71.0,3.0,0.0,0.0,0.0
2018-01-10 03:53:00,,,,,,,,1,,11.0,0,,,dataset2,10/01/2018 03:53:00,18.0,2.851612903,8.566666667,1.0,1.0
2018-02-03 22:16:00,,,,,,,,2,,5.0,0,,,dataset2,03/02/2018 22:16:00,64.0,1.0,0.0,0.0,0.0
2017-12-29 18:45:00,,,,,,,,0,,2.0,0,,,dataset2,29/12/2017 18:45:00,19.0,3.949388209,0.0,0.0,0.0
2017-12-27 03:13:00,,,,,,,,0,,10.5,0,,,dataset2,27/12/2017 03:13:00,14.0,0.0,0.0,0.0,0.0
2017-12-29 02:14:00,,,,,,,,0,,9.5,0,,,dataset2,29/12/2017 02:14:00,25.0,1.0,0.0,0.0,0.0
2018-01-06 05:20:00,,,,,,,,1,,12.5,0,,,dataset2,06/01/2018 05:20:00,5.0,1.0,0.0,0.0,0.0
2018-02-02 01:14:00,,,,,,,,2,,8.0,0,,,dataset2,02/02/2018 01:14:00,51.0,0.533333333,0.0,0.0,0.0
2018-01-03 18:18:00,,,,,,,,1,,1.5,0,,,dataset2,03/01/2018 18:18:00,24.0,4.0,0.0,0.0,0.0
2018-01-28 05:39:00,,,,,,,,1,,12.5,0,,,dataset2,28/01/2018 05:39:00,1.0,0.0,9.466666667,1.0,1.0
2/2/18 00:44,1.0,rat,2/2/18 00:40,2/2/18 00:44,239.0,1.0,0.0,2,2/1/18 17:14,7.505,0,rat,0.0,dataset1,02/02/2018 00:44:00,,,,,
5/1/18 00:07,1.0,rat,5/1/18 00:06,5/1/18 00:09,62.0,1.0,0.0,1,30/4/18 19:20,4.786666667,0,rat,0.0,dataset1,05/01/2018 00:07:00,,,,,
2018-01-09 21:53:00,,,,,,,,1,,5.0,0,,,dataset2,09/01/2018 21:53:00,34.0,4.0,0.0,0.0,0.0
2018-01-04 03:18:00,,,,,,,,1,,10.5,0,,,dataset2,04/01/2018 03:18:00,16.0,1.0,0.0,0.0,0.0
